Packet Loss,delay,RTT Loss,bufferKB,bufferMS,Message size,Batch size,message timeout,acks,retry times,retry backoff,Number of Received messages,Number of nonidentical messages,Number of lost messages,Percentage of lost messages,Number of redundant messages,Percentage of redundant messages,Number of duplicated messages,Percentage of duplicated messages,total time seconds
0.5,30,0.009975,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,274.2105577
1,30,0.0199,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.4091799
1.5,30,0.029775,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,270.1156213
2,30,0.0396,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.9327903
2.5,30,0.049375,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,267.6238434
3,30,0.0591,1048576,0.5,102,1,2000,1,1,40,999953,999953,47,4.70E-05,0,0,0,0,277.6476154
3.5,30,0.068775,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,291.2205963
4,30,0.0784,1048576,0.5,102,1,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,299.2238302
4.5,30,0.087975,1048576,0.5,102,1,2000,1,1,40,999303,999303,697,0.000697,0,0,0,0,296.6067793
5,30,0.0975,1048576,0.5,102,1,2000,1,1,40,997361,995397,4603,0.004603,1964,0.001969197,1964,0.001964,292.589958
5.5,30,0.106975,1048576,0.5,102,1,2000,1,1,40,947607,947016,52984,0.052984,591,0.000623676,591,0.000591,294.3583527
6,30,0.1164,1048576,0.5,102,1,2000,1,1,40,486880,486284,513716,0.513716,596,0.001224121,596,0.000596,288.9332156
6.5,30,0.125775,1048576,0.5,102,1,2000,1,1,40,359253,358215,641785,0.641785,1038,0.002889329,1038,0.001038,294.5638654
7,30,0.1351,1048576,0.5,102,1,2000,1,1,40,202480,202474,797526,0.797526,6,2.96E-05,6,6.00E-06,293.1531291
7.5,30,0.144375,1048576,0.5,102,1,2000,1,1,40,161820,161765,838235,0.838235,55,0.000339884,55,5.50E-05,292.775852
8,30,0.1536,1048576,0.5,102,1,2000,1,1,40,131588,131386,868614,0.868614,202,0.001535094,202,0.000202,291.2055304
8.5,30,0.162775,1048576,0.5,102,1,2000,1,1,40,146777,146777,853223,0.853223,0,0,0,0,287.9801211
9,30,0.1719,1048576,0.5,102,1,2000,1,1,40,111757,111757,888243,0.888243,0,0,0,0,289.4679141
9.5,30,0.180975,1048576,0.5,102,1,2000,1,1,40,102848,102848,897152,0.897152,0,0,0,0,296.3149345
10,30,0.19,1048576,0.5,102,1,2000,1,1,40,99953,99953,900047,0.900047,0,0,0,0,290.290885
10.5,30,0.198975,1048576,0.5,102,1,2000,1,1,40,90111,90046,909954,0.909954,65,0.000721333,65,6.50E-05,291.6111586
11,30,0.2079,1048576,0.5,102,1,2000,1,1,40,94748,94748,905252,0.905252,0,0,0,0,286.1682553
11.5,30,0.216775,1048576,0.5,102,1,2000,1,1,40,85970,85970,914030,0.91403,0,0,0,0,290.599921
12,30,0.2256,1048576,0.5,102,1,2000,1,1,40,82824,82754,917246,0.917246,70,0.000845166,70,7.00E-05,292.1664941
12.5,30,0.234375,1048576,0.5,102,1,2000,1,1,40,68037,68037,931963,0.931963,0,0,0,0,290.1969223
13,30,0.2431,1048576,0.5,102,1,2000,1,1,40,70015,70015,929985,0.929985,0,0,0,0,289.3938394
13.5,30,0.251775,1048576,0.5,102,1,2000,1,1,40,68357,68357,931643,0.931643,0,0,0,0,289.8806691
14,30,0.2604,1048576,0.5,102,1,2000,1,1,40,58488,58488,941512,0.941512,0,0,0,0,291.8241391
14.5,30,0.268975,1048576,0.5,102,1,2000,1,1,40,60258,60258,939742,0.939742,0,0,0,0,292.224226
15,30,0.2775,1048576,0.5,102,1,2000,1,1,40,59261,59261,940739,0.940739,0,0,0,0,291.7997515
15.5,30,0.285975,1048576,0.5,102,1,2000,1,1,40,57239,57239,942761,0.942761,0,0,0,0,291.294481
16,30,0.2944,1048576,0.5,102,1,2000,1,1,40,55373,55373,944627,0.944627,0,0,0,0,289.6611962
16.5,30,0.302775,1048576,0.5,102,1,2000,1,1,40,55511,55511,944489,0.944489,0,0,0,0,293.5303476
17,30,0.3111,1048576,0.5,102,1,2000,1,1,40,50473,49911,950089,0.950089,562,0.011134666,562,0.000562,287.4959097
17.5,30,0.319375,1048576,0.5,102,1,2000,1,1,40,48333,48235,951765,0.951765,98,0.0020276,98,9.80E-05,286.8507118
18,30,0.3276,1048576,0.5,102,1,2000,1,1,40,47648,47648,952352,0.952352,0,0,0,0,292.0236793
18.5,30,0.335775,1048576,0.5,102,1,2000,1,1,40,45986,45986,954014,0.954014,0,0,0,0,286.3413093
19,30,0.3439,1048576,0.5,102,1,2000,1,1,40,46530,46530,953470,0.95347,0,0,0,0,291.7126327
19.5,30,0.351975,1048576,0.5,102,1,2000,1,1,40,43552,43552,956448,0.956448,0,0,0,0,290.615551
20,30,0.36,1048576,0.5,102,1,2000,1,1,40,46178,46178,953822,0.953822,0,0,0,0,286.5784845
20.5,30,0.367975,1048576,0.5,102,1,2000,1,1,40,39655,39655,960345,0.960345,0,0,0,0,286.2071378
21,30,0.3759,1048576,0.5,102,1,2000,1,1,40,38673,38673,961327,0.961327,0,0,0,0,288.3787932
21.5,30,0.383775,1048576,0.5,102,1,2000,1,1,40,35770,35770,964230,0.96423,0,0,0,0,285.291307
22,30,0.3916,1048576,0.5,102,1,2000,1,1,40,35432,35432,964568,0.964568,0,0,0,0,289.4309464
22.5,30,0.399375,1048576,0.5,102,1,2000,1,1,40,34618,34618,965382,0.965382,0,0,0,0,281.5614498
23,30,0.4071,1048576,0.5,102,1,2000,1,1,40,33321,33321,966679,0.966679,0,0,0,0,287.7603796
23.5,30,0.414775,1048576,0.5,102,1,2000,1,1,40,29173,29173,970827,0.970827,0,0,0,0,286.0117736
24,30,0.4224,1048576,0.5,102,1,2000,1,1,40,29967,29967,970033,0.970033,0,0,0,0,290.68308
24.5,30,0.429975,1048576,0.5,102,1,2000,1,1,40,27161,27161,972839,0.972839,0,0,0,0,286.1615155
25,30,0.4375,1048576,0.5,102,1,2000,1,1,40,24423,24423,975577,0.975577,0,0,0,0,272.6873701
0.5,30,0.009975,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.0761666
1,30,0.0199,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,265.3094888
1.5,30,0.029775,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.6347635
2,30,0.0396,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,265.4863687
2.5,30,0.049375,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.2188327
3,30,0.0591,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.8169689
3.5,30,0.068775,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.7186344
4,30,0.0784,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.013483
4.5,30,0.087975,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.9667366
5,30,0.0975,1048576,0.5,102,2,2000,1,1,40,999692,999692,308,0.000308,0,0,0,0,266.0051301
5.5,30,0.106975,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.5830886
6,30,0.1164,1048576,0.5,102,2,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,260.8037345
6.5,30,0.125775,1048576,0.5,102,2,2000,1,1,40,995341,995341,4659,0.004659,0,0,0,0,264.2607684
7,30,0.1351,1048576,0.5,102,2,2000,1,1,40,994033,994033,5967,0.005967,0,0,0,0,265.049104
7.5,30,0.144375,1048576,0.5,102,2,2000,1,1,40,993816,993781,6219,0.006219,35,3.52E-05,35,3.50E-05,263.6437836
8,30,0.1536,1048576,0.5,102,2,2000,1,1,40,987801,986722,13278,0.013278,1079,0.001092325,1079,0.001079,271.6404707
8.5,30,0.162775,1048576,0.5,102,2,2000,1,1,40,770802,768126,231874,0.231874,2676,0.003471709,2676,0.002676,282.6288061
9,30,0.1719,1048576,0.5,102,2,2000,1,1,40,768703,768101,231899,0.231899,602,0.000783137,602,0.000602,283.7803612
9.5,30,0.180975,1048576,0.5,102,2,2000,1,1,40,480468,479271,520729,0.520729,1197,0.002491321,1197,0.001197,287.1355958
10,30,0.19,1048576,0.5,102,2,2000,1,1,40,372669,370936,629064,0.629064,1733,0.004650239,1733,0.001733,291.8455193
10.5,30,0.198975,1048576,0.5,102,2,2000,1,1,40,275436,275321,724679,0.724679,115,0.00041752,115,0.000115,292.1397176
11,30,0.2079,1048576,0.5,102,2,2000,1,1,40,185398,185398,814602,0.814602,0,0,0,0,288.0061507
11.5,30,0.216775,1048576,0.5,102,2,2000,1,1,40,221654,221361,778639,0.778639,293,0.00132188,293,0.000293,290.7105403
12,30,0.2256,1048576,0.5,102,2,2000,1,1,40,139922,139922,860078,0.860078,0,0,0,0,267.2549233
12.5,30,0.234375,1048576,0.5,102,2,2000,1,1,40,123562,123562,876438,0.876438,0,0,0,0,265.1667113
13,30,0.2431,1048576,0.5,102,2,2000,1,1,40,116190,116020,883980,0.88398,170,0.001463121,170,0.00017,271.4911814
13.5,30,0.251775,1048576,0.5,102,2,2000,1,1,40,107230,107230,892770,0.89277,0,0,0,0,265.1539903
14,30,0.2604,1048576,0.5,102,2,2000,1,1,40,107298,107298,892702,0.892702,0,0,0,0,269.2447741
14.5,30,0.268975,1048576,0.5,102,2,2000,1,1,40,110662,110662,889338,0.889338,0,0,0,0,268.9433146
15,30,0.2775,1048576,0.5,102,2,2000,1,1,40,91398,91398,908602,0.908602,0,0,0,0,271.2040038
15.5,30,0.285975,1048576,0.5,102,2,2000,1,1,40,81867,81867,918133,0.918133,0,0,0,0,271.4457922
16,30,0.2944,1048576,0.5,102,2,2000,1,1,40,78834,78834,921166,0.921166,0,0,0,0,269.2375121
16.5,30,0.302775,1048576,0.5,102,2,2000,1,1,40,84584,84584,915416,0.915416,0,0,0,0,267.8427532
17,30,0.3111,1048576,0.5,102,2,2000,1,1,40,76065,76065,923935,0.923935,0,0,0,0,265.5067971
17.5,30,0.319375,1048576,0.5,102,2,2000,1,1,40,78218,78218,921782,0.921782,0,0,0,0,268.3874538
18,30,0.3276,1048576,0.5,102,2,2000,1,1,40,74090,74061,925939,0.925939,29,0.000391416,29,2.90E-05,265.6637244
18.5,30,0.335775,1048576,0.5,102,2,2000,1,1,40,70025,70025,929975,0.929975,0,0,0,0,269.4829686
19,30,0.3439,1048576,0.5,102,2,2000,1,1,40,72154,72154,927846,0.927846,0,0,0,0,267.8718724
19.5,30,0.351975,1048576,0.5,102,2,2000,1,1,40,69346,69035,930965,0.930965,311,0.004484758,311,0.000311,271.8094923
20,30,0.36,1048576,0.5,102,2,2000,1,1,40,58622,58622,941378,0.941378,0,0,0,0,265.5308385
20.5,30,0.367975,1048576,0.5,102,2,2000,1,1,40,56742,56742,943258,0.943258,0,0,0,0,270.3794384
21,30,0.3759,1048576,0.5,102,2,2000,1,1,40,53538,53538,946462,0.946462,0,0,0,0,265.135931
21.5,30,0.383775,1048576,0.5,102,2,2000,1,1,40,49886,49886,950114,0.950114,0,0,0,0,269.8717124
22,30,0.3916,1048576,0.5,102,2,2000,1,1,40,51426,51426,948574,0.948574,0,0,0,0,268.684597
22.5,30,0.399375,1048576,0.5,102,2,2000,1,1,40,54094,54094,945906,0.945906,0,0,0,0,268.9575925
23,30,0.4071,1048576,0.5,102,2,2000,1,1,40,49519,49519,950481,0.950481,0,0,0,0,268.0939872
23.5,30,0.414775,1048576,0.5,102,2,2000,1,1,40,42860,42860,957140,0.95714,0,0,0,0,264.4415579
24,30,0.4224,1048576,0.5,102,2,2000,1,1,40,52007,52007,947993,0.947993,0,0,0,0,264.5245571
24.5,30,0.429975,1048576,0.5,102,2,2000,1,1,40,43745,43745,956255,0.956255,0,0,0,0,266.5675838
25,30,0.4375,1048576,0.5,102,2,2000,1,1,40,41854,41813,958187,0.958187,41,0.000979596,41,4.10E-05,270.12816
0.5,30,0.009975,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.3056066
1,30,0.0199,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.1000836
1.5,30,0.029775,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.8329086
2,30,0.0396,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.2666864
2.5,30,0.049375,1048576,0.5,102,3,2000,1,1,40,999602,999602,398,0.000398,0,0,0,0,265.5485654
3,30,0.0591,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.1578171
3.5,30,0.068775,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.4440856
4,30,0.0784,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,266.3963273
4.5,30,0.087975,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.7181752
5,30,0.0975,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.9020779
5.5,30,0.106975,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.1572626
6,30,0.1164,1048576,0.5,102,3,2000,1,1,40,999762,999762,238,0.000238,0,0,0,0,261.9679482
6.5,30,0.125775,1048576,0.5,102,3,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.4706757
7,30,0.1351,1048576,0.5,102,3,2000,1,1,40,997681,997681,2319,0.002319,0,0,0,0,261.5668626
7.5,30,0.144375,1048576,0.5,102,3,2000,1,1,40,998162,998162,1838,0.001838,0,0,0,0,263.5880215
8,30,0.1536,1048576,0.5,102,3,2000,1,1,40,996064,995937,4063,0.004063,127,0.000127502,127,0.000127,262.6313224
8.5,30,0.162775,1048576,0.5,102,3,2000,1,1,40,993253,993209,6791,0.006791,44,4.43E-05,44,4.40E-05,263.5634689
9,30,0.1719,1048576,0.5,102,3,2000,1,1,40,985164,984318,15682,0.015682,846,0.00085874,846,0.000846,266.3668988
9.5,30,0.180975,1048576,0.5,102,3,2000,1,1,40,956332,955600,44400,0.0444,732,0.000765425,732,0.000732,263.1426325
10,30,0.19,1048576,0.5,102,3,2000,1,1,40,834034,831944,168056,0.168056,2090,0.002505893,2090,0.00209,267.9973686
10.5,30,0.198975,1048576,0.5,102,3,2000,1,1,40,689886,687028,312972,0.312972,2858,0.004142713,2858,0.002858,268.6670179
11,30,0.2079,1048576,0.5,102,3,2000,1,1,40,403677,400168,599832,0.599832,3509,0.008692593,3509,0.003509,270.4651594
11.5,30,0.216775,1048576,0.5,102,3,2000,1,1,40,283304,283159,716841,0.716841,145,0.000511818,145,0.000145,267.4577179
12,30,0.2256,1048576,0.5,102,3,2000,1,1,40,250533,249706,750294,0.750294,827,0.003300962,827,0.000827,271.3932655
12.5,30,0.234375,1048576,0.5,102,3,2000,1,1,40,182544,182544,817456,0.817456,0,0,0,0,269.7115819
13,30,0.2431,1048576,0.5,102,3,2000,1,1,40,199539,199539,800461,0.800461,0,0,0,0,269.7927682
13.5,30,0.251775,1048576,0.5,102,3,2000,1,1,40,194206,194017,805983,0.805983,189,0.000973193,189,0.000189,268.7526774
14,30,0.2604,1048576,0.5,102,3,2000,1,1,40,148812,148677,851323,0.851323,135,0.000907185,135,0.000135,270.8854246
14.5,30,0.268975,1048576,0.5,102,3,2000,1,1,40,150494,150262,849738,0.849738,232,0.00154159,232,0.000232,269.399446
15,30,0.2775,1048576,0.5,102,3,2000,1,1,40,117132,116338,883662,0.883662,794,0.006778677,794,0.000794,271.2096641
15.5,30,0.285975,1048576,0.5,102,3,2000,1,1,40,110983,110983,889017,0.889017,0,0,0,0,267.6445665
16,30,0.2944,1048576,0.5,102,3,2000,1,1,40,105609,105592,894408,0.894408,17,0.000160971,17,1.70E-05,268.1484888
16.5,30,0.302775,1048576,0.5,102,3,2000,1,1,40,114301,114299,885701,0.885701,2,1.75E-05,2,2.00E-06,263.9880371
17,30,0.3111,1048576,0.5,102,3,2000,1,1,40,103929,103929,896071,0.896071,0,0,0,0,267.880543
17.5,30,0.319375,1048576,0.5,102,3,2000,1,1,40,97143,97143,902857,0.902857,0,0,0,0,266.6221061
18,30,0.3276,1048576,0.5,102,3,2000,1,1,40,86442,86442,913558,0.913558,0,0,0,0,268.2544754
18.5,30,0.335775,1048576,0.5,102,3,2000,1,1,40,87492,87492,912508,0.912508,0,0,0,0,268.7794816
19,30,0.3439,1048576,0.5,102,3,2000,1,1,40,84831,84831,915169,0.915169,0,0,0,0,273.594115
19.5,30,0.351975,1048576,0.5,102,3,2000,1,1,40,81542,81542,918458,0.918458,0,0,0,0,265.8318379
20,30,0.36,1048576,0.5,102,3,2000,1,1,40,80709,80499,919501,0.919501,210,0.00260194,210,0.00021,266.2842519
20.5,30,0.367975,1048576,0.5,102,3,2000,1,1,40,73628,73628,926372,0.926372,0,0,0,0,268.2404509
21,30,0.3759,1048576,0.5,102,3,2000,1,1,40,71105,71105,928895,0.928895,0,0,0,0,269.0435302
21.5,30,0.383775,1048576,0.5,102,3,2000,1,1,40,75653,75653,924347,0.924347,0,0,0,0,267.2299893
22,30,0.3916,1048576,0.5,102,3,2000,1,1,40,65874,65874,934126,0.934126,0,0,0,0,271.779346
22.5,30,0.399375,1048576,0.5,102,3,2000,1,1,40,60975,60975,939025,0.939025,0,0,0,0,263.53251
23,30,0.4071,1048576,0.5,102,3,2000,1,1,40,64576,64576,935424,0.935424,0,0,0,0,262.413301
23.5,30,0.414775,1048576,0.5,102,3,2000,1,1,40,57074,57074,942926,0.942926,0,0,0,0,269.6032703
24,30,0.4224,1048576,0.5,102,3,2000,1,1,40,54012,54012,945988,0.945988,0,0,0,0,269.8289564
24.5,30,0.429975,1048576,0.5,102,3,2000,1,1,40,50875,50765,949235,0.949235,110,0.002162162,110,0.00011,269.5548756
25,30,0.4375,1048576,0.5,102,3,2000,1,1,40,55430,55430,944570,0.94457,0,0,0,0,270.6257775
0.5,30,0.009975,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.8252246
1,30,0.0199,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.8309364
1.5,30,0.029775,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.1420887
2,30,0.0396,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.2850509
2.5,30,0.049375,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,260.4794242
3,30,0.0591,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.3325884
3.5,30,0.068775,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.510067
4,30,0.0784,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.6209869
4.5,30,0.087975,1048576,0.5,102,4,2000,1,1,40,998773,998773,1227,0.001227,0,0,0,0,262.2406826
5,30,0.0975,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.1359508
5.5,30,0.106975,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.6744576
6,30,0.1164,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,263.8534756
6.5,30,0.125775,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.1155829
7,30,0.1351,1048576,0.5,102,4,2000,1,1,40,1000433,999587,413,0.000413,846,0.000845634,846,0.000846,263.3059559
7.5,30,0.144375,1048576,0.5,102,4,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,265.6609797
8,30,0.1536,1048576,0.5,102,4,2000,1,1,40,999462,999462,538,0.000538,0,0,0,0,261.2541194
8.5,30,0.162775,1048576,0.5,102,4,2000,1,1,40,1000296,999956,44,4.40E-05,340,0.000339899,340,0.00034,261.4853649
9,30,0.1719,1048576,0.5,102,4,2000,1,1,40,999547,998408,1592,0.001592,1139,0.001139516,1139,0.001139,261.1671245
9.5,30,0.180975,1048576,0.5,102,4,2000,1,1,40,992193,991321,8679,0.008679,872,0.000878861,872,0.000872,266.0733814
10,30,0.19,1048576,0.5,102,4,2000,1,1,40,979025,976044,23956,0.023956,2981,0.003044866,2981,0.002981,264.6630545
10.5,30,0.198975,1048576,0.5,102,4,2000,1,1,40,771647,771476,228524,0.228524,171,0.000221604,171,0.000171,271.6899302
11,30,0.2079,1048576,0.5,102,4,2000,1,1,40,602488,601185,398815,0.398815,1303,0.002162699,1303,0.001303,264.8282404
11.5,30,0.216775,1048576,0.5,102,4,2000,1,1,40,605077,602241,397759,0.397759,2836,0.004687007,2836,0.002836,269.4702508
12,30,0.2256,1048576,0.5,102,4,2000,1,1,40,487786,487492,512508,0.512508,294,0.000602723,294,0.000294,270.9087772
12.5,30,0.234375,1048576,0.5,102,4,2000,1,1,40,329774,329183,670817,0.670817,591,0.001792136,591,0.000591,268.8086615
13,30,0.2431,1048576,0.5,102,4,2000,1,1,40,285575,285575,714425,0.714425,0,0,0,0,268.9685993
13.5,30,0.251775,1048576,0.5,102,4,2000,1,1,40,248146,247988,752012,0.752012,158,0.000636722,158,0.000158,269.313869
14,30,0.2604,1048576,0.5,102,4,2000,1,1,40,212206,212190,787810,0.78781,16,7.54E-05,16,1.60E-05,276.4052334
14.5,30,0.268975,1048576,0.5,102,4,2000,1,1,40,202834,202834,797166,0.797166,0,0,0,0,279.4714444
15,30,0.2775,1048576,0.5,102,4,2000,1,1,40,210983,210983,789017,0.789017,0,0,0,0,277.9362524
15.5,30,0.285975,1048576,0.5,102,4,2000,1,1,40,167230,167125,832875,0.832875,105,0.000627878,105,0.000105,280.5301354
16,30,0.2944,1048576,0.5,102,4,2000,1,1,40,179466,179320,820680,0.82068,146,0.000813525,146,0.000146,287.9033833
16.5,30,0.302775,1048576,0.5,102,4,2000,1,1,40,140128,140128,859872,0.859872,0,0,0,0,290.6757469
17,30,0.3111,1048576,0.5,102,4,2000,1,1,40,146031,145511,854489,0.854489,520,0.003560888,520,0.00052,292.3074052
17.5,30,0.319375,1048576,0.5,102,4,2000,1,1,40,134641,134641,865359,0.865359,0,0,0,0,291.0246344
18,30,0.3276,1048576,0.5,102,4,2000,1,1,40,129501,129453,870547,0.870547,48,0.000370654,48,4.80E-05,284.9107275
18.5,30,0.335775,1048576,0.5,102,4,2000,1,1,40,124847,124820,875180,0.87518,27,0.000216265,27,2.70E-05,289.2716606
19,30,0.3439,1048576,0.5,102,4,2000,1,1,40,108576,108576,891424,0.891424,0,0,0,0,288.3618209
19.5,30,0.351975,1048576,0.5,102,4,2000,1,1,40,103651,103591,896409,0.896409,60,0.000578866,60,6.00E-05,291.848989
20,30,0.36,1048576,0.5,102,4,2000,1,1,40,98834,98505,901495,0.901495,329,0.003328814,329,0.000329,289.012713
20.5,30,0.367975,1048576,0.5,102,4,2000,1,1,40,91356,91291,908709,0.908709,65,0.000711502,65,6.50E-05,289.3865688
21,30,0.3759,1048576,0.5,102,4,2000,1,1,40,90978,90978,909022,0.909022,0,0,0,0,291.7238145
21.5,30,0.383775,1048576,0.5,102,4,2000,1,1,40,86512,86512,913488,0.913488,0,0,0,0,290.2570374
22,30,0.3916,1048576,0.5,102,4,2000,1,1,40,80601,80454,919546,0.919546,147,0.001823799,147,0.000147,289.9155009
22.5,30,0.399375,1048576,0.5,102,4,2000,1,1,40,90112,89577,910423,0.910423,535,0.005937056,535,0.000535,293.946229
23,30,0.4071,1048576,0.5,102,4,2000,1,1,40,73824,73824,926176,0.926176,0,0,0,0,293.9510033
23.5,30,0.414775,1048576,0.5,102,4,2000,1,1,40,68376,68376,931624,0.931624,0,0,0,0,287.0940149
24,30,0.4224,1048576,0.5,102,4,2000,1,1,40,72884,72884,927116,0.927116,0,0,0,0,287.6013868
24.5,30,0.429975,1048576,0.5,102,4,2000,1,1,40,66048,66048,933952,0.933952,0,0,0,0,288.1267145
25,30,0.4375,1048576,0.5,102,4,2000,1,1,40,66884,66884,933116,0.933116,0,0,0,0,290.486753
0.5,30,0.009975,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,287.0078962
1,30,0.0199,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.193537
1.5,30,0.029775,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,285.0412126
2,30,0.0396,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,288.4144778
2.5,30,0.049375,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,290.7988768
3,30,0.0591,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,292.7339349
3.5,30,0.068775,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,305.3687389
4,30,0.0784,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,289.3866239
4.5,30,0.087975,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.2839968
5,30,0.0975,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,262.1323276
5.5,30,0.106975,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,264.6339467
6,30,0.1164,1048576,0.5,102,5,2000,1,1,40,998071,997932,2068,0.002068,139,0.000139269,139,0.000139,262.9573677
6.5,30,0.125775,1048576,0.5,102,5,2000,1,1,40,999008,999008,992,0.000992,0,0,0,0,261.8593035
7,30,0.1351,1048576,0.5,102,5,2000,1,1,40,999943,999943,57,5.70E-05,0,0,0,0,261.7479289
7.5,30,0.144375,1048576,0.5,102,5,2000,1,1,40,1000000,1000000,0,0,0,0,0,0,261.5616543
8,30,0.1536,1048576,0.5,102,5,2000,1,1,40,999969,999942,58,5.80E-05,27,2.70E-05,27,2.70E-05,262.9413607
8.5,30,0.162775,1048576,0.5,102,5,2000,1,1,40,999641,999377,623,0.000623,264,0.000264095,264,0.000264,261.678154
